[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1435317943.108000 6/26/2015, 4:25:43 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.58,  Build 076

INFO, NAME, Unnamed
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: 444.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1435317943.108,,9.999999e+002,3.500038e+002,4.448777e-006,0.000000e+000,3.431443e-001,0.000000e+000,3,8.190591e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,0.000000e+000,0,0,0,
1435318203.889,,9.999999e+002,3.417700e+002,4.643937e-006,0.000000e+000,3.337101e-001,0.000000e+000,3,8.190075e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,1.730499e+000,0,1,0,
1435318233.936,,9.999999e+002,3.399930e+002,4.671727e-006,0.000000e+000,3.313675e-001,0.000000e+000,3,8.238026e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,1.536926e+000,0,1,0,
1435318356.139,,9.999999e+002,3.339799e+002,4.797821e-006,0.000000e+000,3.207705e-001,0.000000e+000,3,8.345666e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,9.143982e-001,0,1,0,
1435318386.483,,9.999999e+002,3.330905e+002,4.860382e-006,0.000000e+000,3.215309e-001,0.000000e+000,3,8.273388e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,6.517029e-001,0,1,0,
1435318414.029,,9.999999e+002,3.325154e+002,4.867521e-006,0.000000e+000,3.184044e-001,0.000000e+000,3,8.383926e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.982910e-001,0,1,0,
1435318519.139,,9.999999e+002,3.320102e+002,4.862271e-006,0.000000e+000,3.185201e-001,0.000000e+000,3,8.323200e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,1.203918e-001,0,1,0,
1435318546.201,,9.999999e+002,3.321458e+002,4.872145e-006,0.000000e+000,3.163053e-001,0.000000e+000,3,8.275749e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,1.506958e-001,0,1,0,
1435318574.748,,9.999999e+002,3.322513e+002,4.874311e-006,0.000000e+000,3.180839e-001,0.000000e+000,3,8.294842e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,9.051514e-002,0,1,0,
1435318686.826,,9.999999e+002,3.317472e+002,4.866555e-006,0.000000e+000,3.165023e-001,0.000000e+000,3,8.294472e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.057007e-001,0,1,0,
1435318772.889,,9.999999e+002,3.294211e+002,4.888890e-006,0.000000e+000,3.131934e-001,0.000000e+000,3,8.333693e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,1.021484e+000,0,1,0,
