[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1438336434.390000 7/31/2015, 2:53:54 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.58,  Build 076

INFO, NAME, Unnamed
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: m(T).seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1438336434.390,,9.999999e+002,1.999568e+000,3.435513e-005,0.000000e+000,8.446981e-004,0.000000e+000,3,9.745428e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,3.304005e-003,0,0,0,
1438336594.203,,9.999999e+002,4.129124e+000,1.601563e-005,0.000000e+000,-4.186587e-002,0.000000e+000,3,9.508091e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,1.374049e-001,0,1,0,
1438336683.906,,9.999999e+002,6.337474e+000,1.012994e-005,0.000000e+000,-9.139418e-002,0.000000e+000,3,9.268041e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,5.938139e-001,0,1,0,
1438336764.703,,9.999999e+002,8.384188e+000,7.073803e-006,0.000000e+000,-1.519169e-001,0.000000e+000,3,8.983358e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,6.142397e-001,0,1,0,
1438336853.062,,9.999999e+002,1.050364e+001,5.083020e-006,0.000000e+000,-2.441306e-001,0.000000e+000,3,8.679349e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,6.071997e-001,0,1,0,
1438336933.172,,9.999999e+002,1.240745e+001,3.965816e-006,0.000000e+000,-3.520888e-001,0.000000e+000,3,8.438144e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,6.318197e-001,0,0,0,
1438337020.078,,9.999999e+002,1.451893e+001,3.270477e-006,0.000000e+000,-4.879846e-001,0.000000e+000,3,8.399700e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,6.337595e-001,0,0,0,
1438337100.875,,9.999999e+002,1.640617e+001,2.941445e-006,0.000000e+000,-6.171420e-001,0.000000e+000,3,8.446300e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,6.451893e-001,0,0,0,
1438337182.922,,9.999999e+002,1.845541e+001,2.809705e-006,0.000000e+000,-7.361391e-001,0.000000e+000,3,8.620045e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,6.317501e-001,0,0,0,
1438337263.375,,9.999999e+002,2.040058e+001,4.398232e-007,0.000000e+000,0.000000e+000,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,6.748791e-001,0,0,0,
1438337348.437,,9.999999e+002,2.250076e+001,-2.421386e-006,0.000000e+000,1.008555e+000,0.000000e+000,3,5.536771e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,5.563087e-001,0,0,0,
1438337432.765,,9.999999e+002,2.457913e+001,-2.391658e-007,0.000000e+000,0.000000e+000,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,6.318207e-001,0,0,0,
1438337511.312,,9.999999e+002,2.655924e+001,-2.462149e-006,0.000000e+000,9.006224e-001,0.000000e+000,3,5.768234e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,6.262398e-001,0,1,0,
1438337584.968,,9.999999e+002,2.841824e+001,-2.518762e-006,0.000000e+000,8.603948e-001,0.000000e+000,3,5.830227e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,6.516399e-001,0,1,0,
1438337666.250,,9.999999e+002,3.042165e+001,-2.555507e-006,0.000000e+000,8.110502e-001,0.000000e+000,3,5.895283e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,5.916786e-001,0,1,0,
