[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1438425046.406000 8/1/2015, 3:30:46 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.58,  Build 076

INFO, NAME, Unnamed
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: m(T).seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1438425046.406,,7.000000e+004,2.002041e+000,-1.251335e-004,0.000000e+000,-3.406757e-003,0.000000e+000,3,6.448285e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,9.703636e-005,0,1,0,
1438425149.781,,6.828388e+004,1.999887e+000,-1.072085e-004,0.000000e+000,-2.582725e-002,0.000000e+000,3,9.466870e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,5.130768e-004,0,1,0,
1438425241.593,,6.627490e+004,1.998468e+000,-8.264175e-005,0.000000e+000,-2.293207e-002,0.000000e+000,3,9.251729e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.804134e-005,0,1,0,
1438425337.297,,6.426592e+004,1.999694e+000,-5.925313e-005,0.000000e+000,-3.911794e-002,0.000000e+000,3,8.822216e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,6.099939e-004,0,1,0,
1438425420.265,,6.225837e+004,2.000698e+000,-3.213627e-005,0.000000e+000,-4.816171e-002,0.000000e+000,3,7.902966e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.670620e-004,0,1,0,
1438425467.812,,6.024796e+004,2.000353e+000,-1.055911e-005,0.000000e+000,-3.028494e-001,0.000000e+000,3,5.993584e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,8.350611e-004,0,1,0,
1438425515.906,,5.823899e+004,2.000191e+000,1.366928e-005,0.000000e+000,1.286308e-001,0.000000e+000,3,6.246262e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,8.029938e-004,0,1,0,
1438425563.218,,5.623287e+004,2.000103e+000,3.243932e-005,0.000000e+000,6.499924e-002,0.000000e+000,3,7.506735e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,6.580353e-004,0,1,0,
1438425610.765,,5.422388e+004,1.999838e+000,5.821862e-005,0.000000e+000,2.986578e-002,0.000000e+000,3,9.047923e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,7.699728e-004,0,1,0,
1438425657.312,,5.221347e+004,1.999822e+000,7.845360e-005,0.000000e+000,2.384341e-002,0.000000e+000,3,9.265566e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,8.990765e-004,0,1,0,
1438425738.265,,5.020592e+004,2.000681e+000,9.829772e-005,0.000000e+000,1.609743e-002,0.000000e+000,3,9.344193e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,3.700256e-004,0,1,0,
1438425783.312,,4.819837e+004,2.000433e+000,1.189660e-004,0.000000e+000,1.714033e-002,0.000000e+000,3,9.538593e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,9.640455e-004,0,0,0,
1438425829.640,,4.618796e+004,2.000521e+000,1.379571e-004,0.000000e+000,8.328821e-003,0.000000e+000,3,9.586595e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,1.108050e-003,0,0,0,
1438425934.500,,4.417755e+004,2.001702e+000,1.573665e-004,0.000000e+000,5.368352e-003,0.000000e+000,3,9.700557e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,1.609325e-004,0,0,0,
1438425982.062,,4.216928e+004,2.000753e+000,1.736799e-004,0.000000e+000,1.009300e-002,0.000000e+000,3,9.644339e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,6.110668e-004,0,0,0,
