[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1438281821.937000 7/30/2015, 11:43:41 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.58,  Build 076

INFO, NAME, Unnamed
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: m(T).seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1438281821.937,,9.999999e+002,2.009090e+000,2.998461e-005,0.000000e+000,1.456453e-002,0.000000e+000,3,9.806539e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,2.046001e-002,0,0,0,
1438281930.265,,9.999999e+002,3.222620e+000,1.510151e-005,0.000000e+000,5.155155e-002,0.000000e+000,3,9.523984e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.068308e-001,0,1,0,
1438282000.609,,9.999999e+002,4.532383e+000,9.020023e-006,0.000000e+000,1.006874e-001,0.000000e+000,3,9.130564e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.263277e-001,0,1,0,
1438282045.484,,9.999999e+002,5.208384e+000,6.761083e-006,0.000000e+000,1.424453e-001,0.000000e+000,3,8.777426e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,3.498011e-001,0,1,0,
1438282111.640,,9.999999e+002,6.248832e+000,4.189387e-006,0.000000e+000,2.443387e-001,0.000000e+000,3,7.868570e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.477220e-001,0,1,0,
1438282172.047,,9.999999e+002,7.236788e+000,2.689530e-006,0.000000e+000,4.459789e-001,0.000000e+000,3,6.278691e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.015441e-001,0,0,0,
1438282234.625,,9.999999e+002,8.256394e+000,1.984972e-006,0.000000e+000,8.818673e-001,0.000000e+000,3,4.036055e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.415913e-001,0,0,0,
1438282300.156,,9.999999e+002,9.267435e+000,-6.563779e-007,0.000000e+000,0.000000e+000,0.000000e+000,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.506836e-001,0,0,0,
1438282359.562,,9.999999e+002,1.026801e+001,-3.091807e-006,0.000000e+000,-6.103998e-001,0.000000e+000,3,8.726344e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.077301e-001,0,0,0,
1438282419.797,,9.999999e+002,1.121633e+001,-3.525271e-006,0.000000e+000,-4.874575e-001,0.000000e+000,3,8.528194e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.304800e-001,0,0,0,
