[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1451043593.562000 12/25/2015, 4:39:53 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.58,  Build 076

INFO, NAME, Unnamed
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: Seq.471_m(T).seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1451043593.562,,9.999999e+002,2.005094e+000,-7.811577e-006,0.000000e+000,-1.205677e-002,0.000000e+000,3,9.420816e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,2.235889e-003,0,1,0,
1451043779.171,,9.999999e+002,4.687124e+000,-1.015686e-005,0.000000e+000,-4.817794e-003,0.000000e+000,3,9.632860e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.002290e-001,0,1,0,
1451043808.968,,9.999999e+002,5.151289e+000,-1.036789e-005,0.000000e+000,-3.197276e-003,0.000000e+000,3,9.660972e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,3.883533e-001,0,1,0,
1451043883.812,,9.999999e+002,6.422831e+000,-1.072082e-005,0.000000e+000,-3.222220e-003,0.000000e+000,3,9.686277e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.323969e-001,0,1,0,
1451043910.859,,9.999999e+002,6.881742e+000,-1.083257e-005,0.000000e+000,-2.612304e-003,0.000000e+000,3,9.692199e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.205923e-001,0,0,0,
1451043939.406,,9.999999e+002,7.346878e+000,-1.091580e-005,0.000000e+000,-1.835051e-003,0.000000e+000,3,9.691406e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.511833e-001,0,0,0,
1451043994.203,,9.999999e+002,8.258753e+000,-1.108334e-005,0.000000e+000,-2.344062e-003,0.000000e+000,3,9.705414e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.023991e-001,0,0,0,
1451044056.515,,9.999999e+002,9.263065e+000,-1.123875e-005,0.000000e+000,-1.799119e-003,0.000000e+000,3,9.696568e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.631729e-001,0,0,0,
1451044119.890,,9.999999e+002,1.029497e+001,-1.136694e-005,0.000000e+000,-1.906860e-003,0.000000e+000,3,9.712532e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.180002e-001,0,0,0,
1451044183.203,,9.999999e+002,1.127524e+001,-1.146877e-005,0.000000e+000,-1.716220e-003,0.000000e+000,3,9.722422e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.339104e-001,0,0,0,
1451044246.265,,9.999999e+002,1.227159e+001,-1.156016e-005,0.000000e+000,-1.360861e-003,0.000000e+000,3,9.705437e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.153404e-001,0,0,0,
1451044312.359,,9.999999e+002,1.329218e+001,-1.163578e-005,0.000000e+000,-1.392932e-003,0.000000e+000,3,9.703091e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.699898e-001,0,0,0,
1451044393.046,,9.999999e+002,1.466624e+001,-1.171966e-005,0.000000e+000,-1.793058e-003,0.000000e+000,3,9.706948e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.029799e-001,0,1,0,
1451044432.375,,9.999999e+002,1.530115e+001,-1.178104e-005,0.000000e+000,-1.217793e-003,0.000000e+000,3,9.729424e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.383497e-001,0,1,0,
1451044489.984,,9.999999e+002,1.627673e+001,-1.182181e-005,0.000000e+000,-1.491917e-003,0.000000e+000,3,9.719204e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.469395e-001,0,1,0,
1451044550.859,,9.999999e+002,1.725451e+001,-1.187624e-005,0.000000e+000,-1.100311e-003,0.000000e+000,3,9.715705e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.557800e-001,0,1,0,
1451044638.093,,9.999999e+002,1.870572e+001,-1.194995e-005,0.000000e+000,-4.533273e-004,0.000000e+000,3,9.717057e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.118690e-001,0,1,0,
1451044671.000,,9.999999e+002,1.925131e+001,-1.196457e-005,0.000000e+000,-3.532540e-004,0.000000e+000,3,9.693688e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.125099e-001,0,1,0,
1451044761.156,,9.999999e+002,2.071927e+001,-1.201684e-005,0.000000e+000,-8.506402e-004,0.000000e+000,3,9.725905e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.006195e-001,0,0,0,
1451044797.046,,9.999999e+002,2.126842e+001,-1.202495e-005,0.000000e+000,-8.239635e-004,0.000000e+000,3,9.720058e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.330807e-001,0,0,0,
1451044931.937,,9.999999e+002,2.353941e+001,-1.209752e-005,0.000000e+000,-7.189721e-004,0.000000e+000,3,9.716334e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.228916e-001,0,0,0,
1451044960.734,,9.999999e+002,2.400552e+001,-1.211996e-005,0.000000e+000,-7.830808e-004,0.000000e+000,3,9.723023e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.133701e-001,0,0,0,
1451044989.062,,9.999999e+002,2.448043e+001,-1.212967e-005,0.000000e+000,-6.659065e-004,0.000000e+000,3,9.711576e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,3.930492e-001,0,0,0,
1451045037.609,,9.999999e+002,2.525309e+001,-1.215928e-005,0.000000e+000,-7.878630e-005,0.000000e+000,3,9.709849e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.433403e-001,0,0,0,
1451045129.468,,9.999999e+002,2.678750e+001,-1.219497e-005,0.000000e+000,-3.123909e-004,0.000000e+000,3,9.708250e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.155407e-001,0,0,0,
1451045157.078,,9.999999e+002,2.724531e+001,-1.219387e-005,0.000000e+000,-3.449002e-004,0.000000e+000,3,9.710274e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.015388e-001,0,0,0,
1451045220.625,,9.999999e+002,2.826019e+001,-1.222914e-005,0.000000e+000,-6.641707e-005,0.000000e+000,3,9.711024e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,3.965816e-001,0,0,0,
1451045280.953,,9.999999e+002,2.925113e+001,-1.225935e-005,0.000000e+000,4.319749e-004,0.000000e+000,3,9.714586e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,3.926201e-001,0,0,0,
1451045346.750,,9.999999e+002,3.029612e+001,-1.227963e-005,0.000000e+000,-5.622977e-004,0.000000e+000,3,9.708340e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,20,1,4.508686e-001,0,0,0,
