Number Atom1 Atom2 Atom3 Angle
1 Cu21 Cu2 S1 91.0
2 Cu21 Cu2 S2 88.4
3 Cu21 Cu2 Cu21 137.4
4 Cu21 Cu2 Cu21 176.8
5 Cu21 Cu2 S1 91.0
6 Cu21 Cu2 Cu21 40.0
7 Cu21 Cu2 Cu21 40.0
8 Cu21 Cu2 Cu21 137.4
9 S1 Cu2 S2 129.7
10 S1 Cu2 Cu21 93.3
11 S1 Cu2 Cu21 91.0
12 S1 Cu2 S1 100.62
13 S1 Cu2 Cu21 129.5
14 S1 Cu2 Cu21 93.3
15 S1 Cu2 Cu21 129.5
16 S2 Cu2 Cu21 57.2
17 S2 Cu2 Cu21 88.4
18 S2 Cu2 S1 129.7
19 S2 Cu2 Cu21 57.2
20 S2 Cu2 Cu21 57.2
21 S2 Cu2 Cu21 57.2
22 Cu21 Cu2 Cu21 40.0
23 Cu21 Cu2 S1 129.5
24 Cu21 Cu2 Cu21 114.3
25 Cu21 Cu2 Cu21 97.4
26 Cu21 Cu2 Cu21 44.2
27 Cu21 Cu2 S1 91.0
28 Cu21 Cu2 Cu21 137.4
29 Cu21 Cu2 Cu21 137.4
30 Cu21 Cu2 Cu21 40.0
31 S1 Cu2 Cu21 93.3
32 S1 Cu2 Cu21 129.5
33 S1 Cu2 Cu21 93.3
34 Cu21 Cu2 Cu21 44.2
35 Cu21 Cu2 Cu21 97.4
36 Cu21 Cu2 Cu21 114.3
37 Cu2 Cu21 S1 64.3
38 Cu2 Cu21 S2 66.4
39 Cu2 Cu21 Cu21 1.6
40 Cu2 Cu21 S1 64.3
41 Cu2 Cu21 Cu2 102.6
42 Cu2 Cu21 Cu21 121.3
43 Cu2 Cu21 Cu2 102.6
44 Cu2 Cu21 Cu21 121.3
45 Cu2 Cu21 As1 172.1
46 S1 Cu21 S2 110.7
47 S1 Cu21 Cu21 65.3(2)
48 S1 Cu21 S1 87.8(2)
49 S1 Cu21 Cu2 161.1
50 S1 Cu21 Cu21 166.1(3)
51 S1 Cu21 Cu2 98.9
52 S1 Cu21 Cu21 106.1(3)
53 S1 Cu21 As1 110.5(2)
54 S2 Cu21 Cu21 64.8
55 S2 Cu21 S1 110.7
56 S2 Cu21 Cu2 50.4
57 S2 Cu21 Cu21 64.7
58 S2 Cu21 Cu2 50.4
59 S2 Cu21 Cu21 64.7
60 S2 Cu21 As1 121.5
61 Cu21 Cu21 S1 65.3(2)
62 Cu21 Cu21 Cu2 101.3
63 Cu21 Cu21 Cu21 120.0(3)
64 Cu21 Cu21 Cu2 101.3
65 Cu21 Cu21 Cu21 120.0(3)
66 Cu21 Cu21 As1 173.7(3)
67 S1 Cu21 Cu2 98.9
68 S1 Cu21 Cu21 106.1(3)
69 S1 Cu21 Cu2 161.1
70 S1 Cu21 Cu21 166.1(3)
71 S1 Cu21 As1 110.5(2)
72 Cu2 Cu21 Cu21 18.7
73 Cu2 Cu21 Cu2 69.6
74 Cu2 Cu21 Cu21 67.9
75 Cu2 Cu21 As1 83.9
76 Cu21 Cu21 Cu2 67.9
77 Cu21 Cu21 Cu21 60.0(2)
78 Cu21 Cu21 As1 65.2(2)
79 Cu2 Cu21 Cu21 18.7
80 Cu2 Cu21 As1 83.9
81 Cu21 Cu21 As1 65.2(2)
82 Cu2 S1 Cu21 24.7
83 Cu2 S1 As1 113.82
84 Cu2 S1 Cu1 115.56
85 Cu2 S1 Cu21 24.7
86 Cu2 S1 Cu1 115.56
87 Cu21 S1 As1 111.0(1)
88 Cu21 S1 Cu1 136.1
89 Cu21 S1 Cu21 49.4(2)
90 Cu21 S1 Cu1 94.1
91 As1 S1 Cu1 104.19
92 As1 S1 Cu21 111.0(1)
93 As1 S1 Cu1 104.19
94 Cu1 S1 Cu21 94.1
95 Cu1 S1 Cu1 101.95
96 Cu21 S1 Cu1 136.1
97 Cu2 S2 Cu21 25.2
98 Cu2 S2 Cu2 90.00
99 Cu2 S2 Cu21 72.5
100 Cu2 S2 Cu21 25.2
101 Cu2 S2 Cu2 90.00
102 Cu2 S2 Cu21 72.5
103 Cu2 S2 Cu2 180.00
104 Cu2 S2 Cu21 154.8
105 Cu2 S2 Cu21 107.5
106 Cu2 S2 Cu21 107.5
107 Cu2 S2 Cu21 154.8
108 Cu2 S2 Cu2 90.00
109 Cu2 S2 Cu21 107.5
110 Cu2 S2 Cu2 90.00
111 Cu2 S2 Cu21 72.5
112 Cu2 S2 Cu21 72.5
113 Cu2 S2 Cu21 107.5
114 Cu21 S2 Cu2 107.5
115 Cu21 S2 Cu21 95.2
116 Cu21 S2 Cu21 50.4
117 Cu21 S2 Cu2 72.5
118 Cu21 S2 Cu21 50.5
119 Cu21 S2 Cu2 154.8
120 Cu21 S2 Cu21 145.0
121 Cu21 S2 Cu21 117.0
122 Cu21 S2 Cu21 95.2
123 Cu21 S2 Cu21 145.0
124 Cu21 S2 Cu2 107.5
125 Cu21 S2 Cu21 117.0
126 Cu21 S2 Cu2 72.5
127 Cu21 S2 Cu21 50.5
128 Cu21 S2 Cu21 95.2
129 Cu21 S2 Cu21 95.2
130 Cu2 S2 Cu21 25.2
131 Cu2 S2 Cu21 72.5
132 Cu2 S2 Cu2 180.00
133 Cu2 S2 Cu21 154.8
134 Cu2 S2 Cu2 90.00
135 Cu2 S2 Cu21 72.5
136 Cu2 S2 Cu21 25.2
137 Cu2 S2 Cu21 154.8
138 Cu2 S2 Cu21 107.5
139 Cu2 S2 Cu2 90.00
140 Cu2 S2 Cu21 107.5
141 Cu2 S2 Cu2 90.00
142 Cu2 S2 Cu21 107.5
143 Cu2 S2 Cu21 72.5
144 Cu2 S2 Cu21 72.5
145 Cu21 S2 Cu21 50.5
146 Cu21 S2 Cu2 154.8
147 Cu21 S2 Cu21 145.0
148 Cu21 S2 Cu2 107.5
149 Cu21 S2 Cu21 95.2
150 Cu21 S2 Cu21 50.4
151 Cu21 S2 Cu21 145.0
152 Cu21 S2 Cu21 117.0
153 Cu21 S2 Cu2 72.5
154 Cu21 S2 Cu21 95.2
155 Cu21 S2 Cu2 107.5
156 Cu21 S2 Cu21 117.0
157 Cu21 S2 Cu21 50.5
158 Cu21 S2 Cu21 95.2
159 Cu21 S2 Cu2 107.5
160 Cu21 S2 Cu21 95.2
161 Cu21 S2 Cu2 154.8
162 Cu21 S2 Cu21 145.0
163 Cu21 S2 Cu21 95.2
164 Cu21 S2 Cu21 117.0
165 Cu21 S2 Cu21 145.0
166 Cu21 S2 Cu2 72.5
167 Cu21 S2 Cu21 95.2
168 Cu21 S2 Cu2 107.5
169 Cu21 S2 Cu21 95.2
170 Cu21 S2 Cu21 50.5
171 Cu21 S2 Cu21 117.0
172 Cu2 S2 Cu21 25.2
173 Cu2 S2 Cu2 90.00
174 Cu2 S2 Cu21 107.5
175 Cu2 S2 Cu21 154.8
176 Cu2 S2 Cu21 25.2
177 Cu2 S2 Cu21 72.5
178 Cu2 S2 Cu2 90.00
179 Cu2 S2 Cu21 72.5
180 Cu2 S2 Cu2 90.00
181 Cu2 S2 Cu21 72.5
182 Cu2 S2 Cu21 107.5
183 Cu2 S2 Cu21 107.5
184 Cu21 S2 Cu2 107.5
185 Cu21 S2 Cu21 117.0
186 Cu21 S2 Cu21 145.0
187 Cu21 S2 Cu21 50.4
188 Cu21 S2 Cu21 95.2
189 Cu21 S2 Cu2 107.5
190 Cu21 S2 Cu21 95.2
191 Cu21 S2 Cu2 72.5
192 Cu21 S2 Cu21 50.5
193 Cu21 S2 Cu21 117.0
194 Cu21 S2 Cu21 95.2
195 Cu2 S2 Cu21 25.2
196 Cu2 S2 Cu21 72.5
197 Cu2 S2 Cu21 72.5
198 Cu2 S2 Cu21 25.2
199 Cu2 S2 Cu2 90.00
200 Cu2 S2 Cu21 72.5
201 Cu2 S2 Cu2 90.00
202 Cu2 S2 Cu21 107.5
203 Cu2 S2 Cu21 107.5
204 Cu2 S2 Cu21 72.5
205 Cu21 S2 Cu21 50.5
206 Cu21 S2 Cu21 95.2
207 Cu21 S2 Cu21 50.4
208 Cu21 S2 Cu2 107.5
209 Cu21 S2 Cu21 95.2
210 Cu21 S2 Cu2 72.5
211 Cu21 S2 Cu21 95.2
212 Cu21 S2 Cu21 117.0
213 Cu21 S2 Cu21 50.5
214 Cu21 S2 Cu21 145.0
215 Cu21 S2 Cu21 95.2
216 Cu21 S2 Cu2 107.5
217 Cu21 S2 Cu21 117.0
218 Cu21 S2 Cu2 72.5
219 Cu21 S2 Cu21 95.2
220 Cu21 S2 Cu21 95.2
221 Cu21 S2 Cu21 50.5
222 Cu21 S2 Cu21 50.5
223 Cu21 S2 Cu2 72.5
224 Cu21 S2 Cu21 50.5
225 Cu21 S2 Cu2 107.5
226 Cu21 S2 Cu21 95.2
227 Cu21 S2 Cu21 95.2
228 Cu21 S2 Cu21 117.0
229 Cu21 S2 Cu2 72.5
230 Cu21 S2 Cu21 50.5
231 Cu21 S2 Cu2 107.5
232 Cu21 S2 Cu21 117.0
233 Cu21 S2 Cu21 95.2
234 Cu21 S2 Cu21 95.2
235 Cu2 S2 Cu21 25.2
236 Cu2 S2 Cu2 180.00
237 Cu2 S2 Cu21 154.8
238 Cu2 S2 Cu21 25.2
239 Cu2 S2 Cu21 154.8
240 Cu21 S2 Cu2 154.8
241 Cu21 S2 Cu21 145.0
242 Cu21 S2 Cu21 50.4
243 Cu21 S2 Cu21 145.0
244 Cu2 S2 Cu21 25.2
245 Cu2 S2 Cu21 154.8
246 Cu2 S2 Cu21 25.2
247 Cu21 S2 Cu21 145.0
248 Cu21 S2 Cu21 50.4
249 Cu21 S2 Cu21 145.0
250 S1 As1 S1 99.44(3)
251 S1 As1 S1 99.44(3)
252 S1 As1 Cu21 101.6(1)
253 S1 As1 Cu21 147.2(1)
254 S1 As1 Cu21 101.6(1)
255 S1 As1 S1 99.44(3)
256 S1 As1 Cu21 147.2(1)
257 S1 As1 Cu21 101.6(1)
258 S1 As1 Cu21 101.6(1)
259 S1 As1 Cu21 101.6(1)
260 S1 As1 Cu21 101.6(1)
261 S1 As1 Cu21 147.2(1)
262 Cu21 As1 Cu21 49.6(2)
263 Cu21 As1 Cu21 49.6(2)
264 Cu21 As1 Cu21 49.6(2)
265 As1 S1 Cu2 113.82
266 As1 S1 Cu21 111.0(1)
267 As1 S1 Cu21 111.0(1)
268 As1 S1 Cu1 104.19
269 As1 S1 Cu1 104.19
270 Cu2 S1 Cu21 24.7
271 Cu2 S1 Cu21 24.7
272 Cu2 S1 Cu1 115.56
273 Cu2 S1 Cu1 115.56
274 Cu21 S1 Cu21 49.4(2)
275 Cu21 S1 Cu1 94.1
276 Cu21 S1 Cu1 136.1
277 Cu21 S1 Cu1 136.1
278 Cu21 S1 Cu1 94.1
279 Cu1 S1 Cu1 101.95
280 As1 S1 Cu2 113.82
281 As1 S1 Cu21 111.0(1)
282 As1 S1 Cu21 111.0(1)
283 As1 S1 Cu1 104.19
284 As1 S1 Cu1 104.19
285 Cu2 S1 Cu21 24.7
286 Cu2 S1 Cu21 24.7
287 Cu2 S1 Cu1 115.56
288 Cu2 S1 Cu1 115.56
289 Cu21 S1 Cu21 49.4(2)
290 Cu21 S1 Cu1 136.1
291 Cu21 S1 Cu1 94.1
292 Cu21 S1 Cu1 94.1
293 Cu21 S1 Cu1 136.1
294 Cu1 S1 Cu1 101.95
295 S1 Cu1 S1 109.51
296 S1 Cu1 S1 109.45
297 S1 Cu1 S1 109.45
298 S1 Cu1 S1 109.45
299 S1 Cu1 S1 109.45
300 S1 Cu1 S1 109.51
301 S2 Cu2 S1 129.7
302 S2 Cu2 Cu21 88.4
303 S2 Cu2 S1 129.7
304 S2 Cu2 Cu21 57.2
305 S2 Cu2 Cu21 57.2
306 S2 Cu2 Cu21 88.4
307 S2 Cu2 Cu21 57.2
308 S2 Cu2 Cu21 57.2
309 S1 Cu2 Cu21 91.0
310 S1 Cu2 S1 100.62
311 S1 Cu2 Cu21 93.3
312 S1 Cu2 Cu21 129.5
313 S1 Cu2 Cu21 91.0
314 S1 Cu2 Cu21 129.5
315 S1 Cu2 Cu21 93.3
316 Cu21 Cu2 S1 91.0
317 Cu21 Cu2 Cu21 40.0
318 Cu21 Cu2 Cu21 137.4
319 Cu21 Cu2 Cu21 176.8
320 Cu21 Cu2 Cu21 40.0
321 Cu21 Cu2 Cu21 137.4
322 S1 Cu2 Cu21 129.5
323 S1 Cu2 Cu21 93.3
324 S1 Cu2 Cu21 91.0
325 S1 Cu2 Cu21 93.3
326 S1 Cu2 Cu21 129.5
327 Cu21 Cu2 Cu21 114.3
328 Cu21 Cu2 Cu21 137.4
329 Cu21 Cu2 Cu21 44.2
330 Cu21 Cu2 Cu21 97.4
331 Cu21 Cu2 Cu21 40.0
332 Cu21 Cu2 Cu21 97.4
333 Cu21 Cu2 Cu21 44.2
334 Cu21 Cu2 Cu21 137.4
335 Cu21 Cu2 Cu21 40.0
336 Cu21 Cu2 Cu21 114.3
337 Cu2 Cu21 S2 50.4
338 Cu2 Cu21 S1 98.9
339 Cu2 Cu21 Cu2 102.6
340 Cu2 Cu21 S1 161.1
341 Cu2 Cu21 Cu21 18.7
342 Cu2 Cu21 Cu21 101.3
343 Cu2 Cu21 Cu2 69.6
344 Cu2 Cu21 Cu21 67.9
345 Cu2 Cu21 As1 83.9
346 S2 Cu21 S1 110.7
347 S2 Cu21 Cu2 66.4
348 S2 Cu21 S1 110.7
349 S2 Cu21 Cu21 64.7
350 S2 Cu21 Cu21 64.8
351 S2 Cu21 Cu2 50.4
352 S2 Cu21 Cu21 64.7
353 S2 Cu21 As1 121.5
354 S1 Cu21 Cu2 64.3
355 S1 Cu21 S1 87.8(2)
356 S1 Cu21 Cu21 106.1(3)
357 S1 Cu21 Cu21 65.3(2)
358 S1 Cu21 Cu2 161.1
359 S1 Cu21 Cu21 166.1(3)
360 S1 Cu21 As1 110.5(2)
361 Cu2 Cu21 S1 64.3
362 Cu2 Cu21 Cu21 121.3
363 Cu2 Cu21 Cu21 1.6
364 Cu2 Cu21 Cu2 102.6
365 Cu2 Cu21 Cu21 121.3
366 Cu2 Cu21 As1 172.1
367 S1 Cu21 Cu21 166.1(3)
368 S1 Cu21 Cu21 65.3(2)
