Number Atom1 Atom2 Type Polymeric Cyclicity Length SybylType
1 Cu2 Cu21 Unknown no cyclic 1.108 un
2 Cu2 S1 Unknown no cyclic 2.217 1
3 Cu2 S2 Unknown no cyclic 2.196 1
4 Cu2 Cu21 Unknown no cyclic 2.691 un
5 Cu2 Cu21 Unknown no cyclic 1.108 un
6 Cu2 S1 Unknown no cyclic 2.217 1
7 Cu2 Cu21 Unknown no cyclic 2.691 un
8 Cu2 Cu21 Unknown no cyclic 2.691 un
9 Cu2 Cu21 Unknown no cyclic 2.691 un
10 Cu21 S1 Unknown no cyclic 2.504(4) 1
11 Cu21 S2 Unknown no cyclic 2.421 1
12 Cu21 Cu21 Unknown no cyclic 2.215(6) un
13 Cu21 S1 Unknown no cyclic 2.504(4) 1
14 Cu21 Cu2 Unknown no cyclic 2.691 un
15 Cu21 Cu21 Unknown no cyclic 1.937(6) un
16 Cu21 Cu2 Unknown no cyclic 2.691 un
17 Cu21 Cu21 Unknown no cyclic 1.937(6) un
18 Cu21 As1 Unknown yes cyclic 2.382(4) un
19 S1 As1 Unknown no cyclic 2.246(1) 1
20 S1 Cu1 Unknown no cyclic 2.3064 1
21 S1 Cu21 Unknown no cyclic 2.504(4) 1
22 S1 Cu1 Unknown yes cyclic 2.3064 1
23 S2 Cu2 Unknown no cyclic 2.196 1
24 S2 Cu21 Unknown no cyclic 2.421 1
25 S2 Cu21 Unknown no cyclic 2.421 1
26 S2 Cu2 Unknown no cyclic 2.196 1
27 S2 Cu21 Unknown no cyclic 2.421 1
28 S2 Cu2 Unknown no cyclic 2.196 1
29 S2 Cu21 Unknown no cyclic 2.421 1
30 S2 Cu21 Unknown no cyclic 2.421 1
31 S2 Cu21 Unknown no cyclic 2.421 1
32 S2 Cu21 Unknown no cyclic 2.421 1
33 S2 Cu2 Unknown no cyclic 2.196 1
34 S2 Cu21 Unknown no cyclic 2.421 1
35 S2 Cu2 Unknown no cyclic 2.196 1
36 S2 Cu21 Unknown no cyclic 2.421 1
37 S2 Cu21 Unknown no cyclic 2.421 1
38 S2 Cu21 Unknown no cyclic 2.421 1
39 As1 S1 Unknown no cyclic 2.246(1) 1
40 As1 S1 Unknown no cyclic 2.246(1) 1
41 As1 Cu21 Unknown yes cyclic 2.382(4) un
42 As1 Cu21 Unknown yes cyclic 2.382(4) un
43 As1 Cu21 Unknown yes cyclic 2.382(4) un
